FrozenTrial(number=0, state=TrialState.COMPLETE, values=[0.719], datetime_start=datetime.datetime(2024, 3, 13, 19, 24, 22, 449985), datetime_complete=datetime.datetime(2024, 3, 13, 19, 28, 51, 47972), params={'lr': 0.014917010786942523, 'tblr': 0.020603526123404214, 'tbwd': 4.084369150872189e-05, 'tpwd': 2.768007534753861e-05, 'lw': 0.4504013758888913, 'layer_num': 32, 'dropout': 0.16715340924650374}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tblr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tbwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'tpwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'lw': FloatDistribution(high=0.7, log=False, low=0.01, step=None), 'layer_num': CategoricalDistribution(choices=(2, 16, 32, 64)), 'dropout': FloatDistribution(high=0.8, log=False, low=0.1, step=None)}, trial_id=0, value=None)
FrozenTrial(number=1, state=TrialState.COMPLETE, values=[0.731], datetime_start=datetime.datetime(2024, 3, 13, 19, 28, 51, 49834), datetime_complete=datetime.datetime(2024, 3, 13, 19, 40, 25, 760547), params={'lr': 0.0025432423598675123, 'tblr': 0.0023023764144674986, 'tbwd': 9.273556190509587e-05, 'tpwd': 9.698609818938999e-05, 'lw': 0.15476113368567798, 'layer_num': 64, 'dropout': 0.7457863150218812}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tblr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tbwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'tpwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'lw': FloatDistribution(high=0.7, log=False, low=0.01, step=None), 'layer_num': CategoricalDistribution(choices=(2, 16, 32, 64)), 'dropout': FloatDistribution(high=0.8, log=False, low=0.1, step=None)}, trial_id=1, value=None)
FrozenTrial(number=2, state=TrialState.COMPLETE, values=[0.705], datetime_start=datetime.datetime(2024, 3, 13, 19, 40, 25, 762258), datetime_complete=datetime.datetime(2024, 3, 13, 19, 41, 52, 419330), params={'lr': 0.004715726745274469, 'tblr': 0.002530802738645407, 'tbwd': 6.414465051103466e-05, 'tpwd': 1.828080635400584e-05, 'lw': 0.24856383857646924, 'layer_num': 2, 'dropout': 0.3933761157266722}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tblr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tbwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'tpwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'lw': FloatDistribution(high=0.7, log=False, low=0.01, step=None), 'layer_num': CategoricalDistribution(choices=(2, 16, 32, 64)), 'dropout': FloatDistribution(high=0.8, log=False, low=0.1, step=None)}, trial_id=2, value=None)
FrozenTrial(number=3, state=TrialState.COMPLETE, values=[0.708], datetime_start=datetime.datetime(2024, 3, 13, 19, 41, 52, 421024), datetime_complete=datetime.datetime(2024, 3, 13, 19, 43, 2, 885069), params={'lr': 0.017577475529702142, 'tblr': 0.0018773658002943666, 'tbwd': 8.606658094483306e-05, 'tpwd': 2.4928087309092044e-05, 'lw': 0.6641794083678948, 'layer_num': 2, 'dropout': 0.26367591801046747}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tblr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tbwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'tpwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'lw': FloatDistribution(high=0.7, log=False, low=0.01, step=None), 'layer_num': CategoricalDistribution(choices=(2, 16, 32, 64)), 'dropout': FloatDistribution(high=0.8, log=False, low=0.1, step=None)}, trial_id=3, value=None)
FrozenTrial(number=4, state=TrialState.COMPLETE, values=[0.726], datetime_start=datetime.datetime(2024, 3, 13, 19, 43, 2, 886768), datetime_complete=datetime.datetime(2024, 3, 13, 19, 46, 54, 50305), params={'lr': 0.0028356590766663546, 'tblr': 0.0063521944965730165, 'tbwd': 6.294321358258004e-05, 'tpwd': 4.7528573993299786e-05, 'lw': 0.3172546756670889, 'layer_num': 16, 'dropout': 0.25096175482929906}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tblr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tbwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'tpwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'lw': FloatDistribution(high=0.7, log=False, low=0.01, step=None), 'layer_num': CategoricalDistribution(choices=(2, 16, 32, 64)), 'dropout': FloatDistribution(high=0.8, log=False, low=0.1, step=None)}, trial_id=4, value=None)
FrozenTrial(number=5, state=TrialState.COMPLETE, values=[0.726], datetime_start=datetime.datetime(2024, 3, 13, 19, 46, 54, 52046), datetime_complete=datetime.datetime(2024, 3, 13, 19, 58, 42, 472239), params={'lr': 0.007712434750788537, 'tblr': 0.0049493298067055345, 'tbwd': 2.4989335938160926e-05, 'tpwd': 9.514561204582752e-05, 'lw': 0.20192211574750674, 'layer_num': 64, 'dropout': 0.21738481143889754}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tblr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tbwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'tpwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'lw': FloatDistribution(high=0.7, log=False, low=0.01, step=None), 'layer_num': CategoricalDistribution(choices=(2, 16, 32, 64)), 'dropout': FloatDistribution(high=0.8, log=False, low=0.1, step=None)}, trial_id=5, value=None)
FrozenTrial(number=6, state=TrialState.COMPLETE, values=[0.661], datetime_start=datetime.datetime(2024, 3, 13, 19, 58, 42, 473987), datetime_complete=datetime.datetime(2024, 3, 13, 20, 2, 22, 62426), params={'lr': 0.010872790285696623, 'tblr': 0.008933600970613196, 'tbwd': 4.119148492798972e-05, 'tpwd': 3.915691552856465e-05, 'lw': 0.14203834989603084, 'layer_num': 2, 'dropout': 0.20669362740859956}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tblr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tbwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'tpwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'lw': FloatDistribution(high=0.7, log=False, low=0.01, step=None), 'layer_num': CategoricalDistribution(choices=(2, 16, 32, 64)), 'dropout': FloatDistribution(high=0.8, log=False, low=0.1, step=None)}, trial_id=6, value=None)
FrozenTrial(number=7, state=TrialState.COMPLETE, values=[0.711], datetime_start=datetime.datetime(2024, 3, 13, 20, 2, 22, 64084), datetime_complete=datetime.datetime(2024, 3, 13, 20, 6, 38, 541184), params={'lr': 0.009973238211611482, 'tblr': 0.0032213949398004955, 'tbwd': 3.0034522289358403e-05, 'tpwd': 3.676646856909403e-05, 'lw': 0.2857678875605044, 'layer_num': 2, 'dropout': 0.41852180590543686}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tblr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tbwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'tpwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'lw': FloatDistribution(high=0.7, log=False, low=0.01, step=None), 'layer_num': CategoricalDistribution(choices=(2, 16, 32, 64)), 'dropout': FloatDistribution(high=0.8, log=False, low=0.1, step=None)}, trial_id=7, value=None)
FrozenTrial(number=8, state=TrialState.COMPLETE, values=[0.731], datetime_start=datetime.datetime(2024, 3, 13, 20, 6, 38, 542795), datetime_complete=datetime.datetime(2024, 3, 13, 20, 12, 54, 96911), params={'lr': 0.006151379841122992, 'tblr': 0.041449757163355874, 'tbwd': 5.891695564613766e-05, 'tpwd': 3.167099613185106e-05, 'lw': 0.010210054497910322, 'layer_num': 16, 'dropout': 0.2961246361686667}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tblr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tbwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'tpwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'lw': FloatDistribution(high=0.7, log=False, low=0.01, step=None), 'layer_num': CategoricalDistribution(choices=(2, 16, 32, 64)), 'dropout': FloatDistribution(high=0.8, log=False, low=0.1, step=None)}, trial_id=8, value=None)
FrozenTrial(number=9, state=TrialState.COMPLETE, values=[0.733], datetime_start=datetime.datetime(2024, 3, 13, 20, 12, 54, 98694), datetime_complete=datetime.datetime(2024, 3, 13, 20, 19, 53, 802762), params={'lr': 0.003743167369285676, 'tblr': 0.02067313168347994, 'tbwd': 1.3578335867181624e-05, 'tpwd': 9.167482491404269e-05, 'lw': 0.13983213367570352, 'layer_num': 32, 'dropout': 0.4602480040227773}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tblr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tbwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'tpwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'lw': FloatDistribution(high=0.7, log=False, low=0.01, step=None), 'layer_num': CategoricalDistribution(choices=(2, 16, 32, 64)), 'dropout': FloatDistribution(high=0.8, log=False, low=0.1, step=None)}, trial_id=9, value=None)
FrozenTrial(number=10, state=TrialState.COMPLETE, values=[0.717], datetime_start=datetime.datetime(2024, 3, 13, 20, 19, 53, 804563), datetime_complete=datetime.datetime(2024, 3, 13, 20, 26, 35, 157155), params={'lr': 0.00113287051959221, 'tblr': 0.015231263281392245, 'tbwd': 1.7260801231858114e-06, 'tpwd': 7.091397304976009e-05, 'lw': 0.5067324670751521, 'layer_num': 32, 'dropout': 0.633728311030614}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tblr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tbwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'tpwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'lw': FloatDistribution(high=0.7, log=False, low=0.01, step=None), 'layer_num': CategoricalDistribution(choices=(2, 16, 32, 64)), 'dropout': FloatDistribution(high=0.8, log=False, low=0.1, step=None)}, trial_id=10, value=None)
