FrozenTrial(number=0, state=TrialState.COMPLETE, values=[0.846], datetime_start=datetime.datetime(2024, 3, 13, 11, 21, 39, 931603), datetime_complete=datetime.datetime(2024, 3, 13, 11, 28, 41, 881075), params={'lr': 0.04875438326371185, 'tblr': 0.02252873489944714, 'tbwd': 8.075830039082902e-06, 'tpwd': 8.883147246389824e-05, 'lw': 0.4464131959009529, 'layer_num': 64, 'dropout': 0.3920222087388485}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tblr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tbwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'tpwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'lw': FloatDistribution(high=0.7, log=False, low=0.01, step=None), 'layer_num': CategoricalDistribution(choices=(2, 16, 32, 64)), 'dropout': FloatDistribution(high=0.8, log=False, low=0.1, step=None)}, trial_id=0, value=None)
FrozenTrial(number=0, state=TrialState.COMPLETE, values=[0.778], datetime_start=datetime.datetime(2024, 3, 13, 11, 30, 1, 909305), datetime_complete=datetime.datetime(2024, 3, 13, 11, 31, 39, 94666), params={'lr': 0.002311890185917733, 'tblr': 0.006617010934608738, 'tbwd': 2.4976799570053257e-05, 'tpwd': 7.616584803813687e-05, 'lw': 0.42322750741732695, 'layer_num': 2, 'dropout': 0.5093214559971906}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tblr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tbwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'tpwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'lw': FloatDistribution(high=0.7, log=False, low=0.01, step=None), 'layer_num': CategoricalDistribution(choices=(2, 16, 32, 64)), 'dropout': FloatDistribution(high=0.8, log=False, low=0.1, step=None)}, trial_id=0, value=None)
FrozenTrial(number=1, state=TrialState.COMPLETE, values=[0.847], datetime_start=datetime.datetime(2024, 3, 13, 11, 31, 39, 96376), datetime_complete=datetime.datetime(2024, 3, 13, 11, 39, 45, 629114), params={'lr': 0.0494448361064832, 'tblr': 0.01023509385842748, 'tbwd': 1.3802634076025154e-05, 'tpwd': 9.52101275288044e-05, 'lw': 0.37688025857402807, 'layer_num': 64, 'dropout': 0.35249775676913986}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tblr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tbwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'tpwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'lw': FloatDistribution(high=0.7, log=False, low=0.01, step=None), 'layer_num': CategoricalDistribution(choices=(2, 16, 32, 64)), 'dropout': FloatDistribution(high=0.8, log=False, low=0.1, step=None)}, trial_id=1, value=None)
FrozenTrial(number=2, state=TrialState.COMPLETE, values=[0.84], datetime_start=datetime.datetime(2024, 3, 13, 11, 39, 45, 631073), datetime_complete=datetime.datetime(2024, 3, 13, 11, 43, 55, 140516), params={'lr': 0.025655639846579814, 'tblr': 0.01553983067676502, 'tbwd': 9.379323236240965e-06, 'tpwd': 4.85679780709245e-05, 'lw': 0.6310520501673138, 'layer_num': 32, 'dropout': 0.24716490091392596}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tblr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tbwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'tpwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'lw': FloatDistribution(high=0.7, log=False, low=0.01, step=None), 'layer_num': CategoricalDistribution(choices=(2, 16, 32, 64)), 'dropout': FloatDistribution(high=0.8, log=False, low=0.1, step=None)}, trial_id=2, value=None)
FrozenTrial(number=3, state=TrialState.COMPLETE, values=[0.844], datetime_start=datetime.datetime(2024, 3, 13, 11, 43, 55, 141811), datetime_complete=datetime.datetime(2024, 3, 13, 11, 53, 11, 943165), params={'lr': 0.03115450622316415, 'tblr': 0.004484076333657448, 'tbwd': 7.192346245711782e-05, 'tpwd': 2.8758126888599462e-05, 'lw': 0.38809132158520715, 'layer_num': 64, 'dropout': 0.42124630788497175}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tblr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tbwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'tpwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'lw': FloatDistribution(high=0.7, log=False, low=0.01, step=None), 'layer_num': CategoricalDistribution(choices=(2, 16, 32, 64)), 'dropout': FloatDistribution(high=0.8, log=False, low=0.1, step=None)}, trial_id=3, value=None)
FrozenTrial(number=4, state=TrialState.COMPLETE, values=[0.74], datetime_start=datetime.datetime(2024, 3, 13, 11, 53, 11, 944936), datetime_complete=datetime.datetime(2024, 3, 13, 11, 53, 59, 817325), params={'lr': 0.04726516108819563, 'tblr': 0.0095078653640481, 'tbwd': 8.183377131275985e-05, 'tpwd': 5.795547013421458e-05, 'lw': 0.03877877724490368, 'layer_num': 2, 'dropout': 0.11938400619329569}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tblr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tbwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'tpwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'lw': FloatDistribution(high=0.7, log=False, low=0.01, step=None), 'layer_num': CategoricalDistribution(choices=(2, 16, 32, 64)), 'dropout': FloatDistribution(high=0.8, log=False, low=0.1, step=None)}, trial_id=4, value=None)
FrozenTrial(number=5, state=TrialState.COMPLETE, values=[0.794], datetime_start=datetime.datetime(2024, 3, 13, 11, 53, 59, 818950), datetime_complete=datetime.datetime(2024, 3, 13, 11, 55, 9, 544304), params={'lr': 0.014655768235742746, 'tblr': 0.009504431947553519, 'tbwd': 2.9279442772607934e-05, 'tpwd': 4.698201569653777e-05, 'lw': 0.09605146474328899, 'layer_num': 2, 'dropout': 0.20082546225260503}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tblr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tbwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'tpwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'lw': FloatDistribution(high=0.7, log=False, low=0.01, step=None), 'layer_num': CategoricalDistribution(choices=(2, 16, 32, 64)), 'dropout': FloatDistribution(high=0.8, log=False, low=0.1, step=None)}, trial_id=5, value=None)
FrozenTrial(number=6, state=TrialState.COMPLETE, values=[0.762], datetime_start=datetime.datetime(2024, 3, 13, 11, 55, 9, 545910), datetime_complete=datetime.datetime(2024, 3, 13, 11, 56, 37, 816342), params={'lr': 0.011144598676798316, 'tblr': 0.0030105321000173566, 'tbwd': 8.692142876925022e-05, 'tpwd': 4.606754602425148e-05, 'lw': 0.6159522729918192, 'layer_num': 2, 'dropout': 0.6198196023046062}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tblr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tbwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'tpwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'lw': FloatDistribution(high=0.7, log=False, low=0.01, step=None), 'layer_num': CategoricalDistribution(choices=(2, 16, 32, 64)), 'dropout': FloatDistribution(high=0.8, log=False, low=0.1, step=None)}, trial_id=6, value=None)
FrozenTrial(number=7, state=TrialState.COMPLETE, values=[0.845], datetime_start=datetime.datetime(2024, 3, 13, 11, 56, 37, 817996), datetime_complete=datetime.datetime(2024, 3, 13, 12, 6, 0, 465497), params={'lr': 0.020635505265146147, 'tblr': 0.04721283097712788, 'tbwd': 1.7311307180896514e-05, 'tpwd': 4.2059508800155685e-05, 'lw': 0.42240313540043256, 'layer_num': 64, 'dropout': 0.40223622109102175}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tblr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tbwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'tpwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'lw': FloatDistribution(high=0.7, log=False, low=0.01, step=None), 'layer_num': CategoricalDistribution(choices=(2, 16, 32, 64)), 'dropout': FloatDistribution(high=0.8, log=False, low=0.1, step=None)}, trial_id=7, value=None)
FrozenTrial(number=8, state=TrialState.COMPLETE, values=[0.84], datetime_start=datetime.datetime(2024, 3, 13, 12, 6, 0, 467140), datetime_complete=datetime.datetime(2024, 3, 13, 12, 9, 38, 165336), params={'lr': 0.011825650920377271, 'tblr': 0.033081827173933015, 'tbwd': 2.510728839108722e-05, 'tpwd': 4.031163237151162e-05, 'lw': 0.09399416776068936, 'layer_num': 16, 'dropout': 0.37483793692898715}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tblr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tbwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'tpwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'lw': FloatDistribution(high=0.7, log=False, low=0.01, step=None), 'layer_num': CategoricalDistribution(choices=(2, 16, 32, 64)), 'dropout': FloatDistribution(high=0.8, log=False, low=0.1, step=None)}, trial_id=8, value=None)
FrozenTrial(number=9, state=TrialState.COMPLETE, values=[0.843], datetime_start=datetime.datetime(2024, 3, 13, 12, 9, 38, 167011), datetime_complete=datetime.datetime(2024, 3, 13, 12, 15, 9, 276585), params={'lr': 0.014963158931239852, 'tblr': 0.0035450634165941136, 'tbwd': 8.357432306720536e-05, 'tpwd': 4.3032347109743106e-05, 'lw': 0.08924362643432557, 'layer_num': 32, 'dropout': 0.1576014797489304}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tblr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tbwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'tpwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'lw': FloatDistribution(high=0.7, log=False, low=0.01, step=None), 'layer_num': CategoricalDistribution(choices=(2, 16, 32, 64)), 'dropout': FloatDistribution(high=0.8, log=False, low=0.1, step=None)}, trial_id=9, value=None)
