FrozenTrial(number=0, state=TrialState.COMPLETE, values=[0.907], datetime_start=datetime.datetime(2024, 3, 15, 9, 29, 9, 677696), datetime_complete=datetime.datetime(2024, 3, 15, 9, 49, 32, 600845), params={'lr': 0.020474337069749136, 'tblr': 0.008899390160399104, 'tbwd': 6.620445891477546e-05, 'tpwd': 5.07810572452543e-05, 'lw': 0.24405472335671097, 'layer_num': 64, 'dropout': 0.3166545368249679}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tblr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tbwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'tpwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'lw': FloatDistribution(high=0.7, log=False, low=0.01, step=None), 'layer_num': CategoricalDistribution(choices=(2, 16, 32, 64)), 'dropout': FloatDistribution(high=0.8, log=False, low=0.1, step=None)}, trial_id=0, value=None)
FrozenTrial(number=1, state=TrialState.COMPLETE, values=[0.866], datetime_start=datetime.datetime(2024, 3, 15, 9, 49, 32, 602423), datetime_complete=datetime.datetime(2024, 3, 15, 9, 51, 31, 240734), params={'lr': 0.006440419689724649, 'tblr': 0.012590882635264764, 'tbwd': 5.994147376461962e-05, 'tpwd': 6.358779280545146e-05, 'lw': 0.3241980225629235, 'layer_num': 2, 'dropout': 0.41479854223562895}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tblr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tbwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'tpwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'lw': FloatDistribution(high=0.7, log=False, low=0.01, step=None), 'layer_num': CategoricalDistribution(choices=(2, 16, 32, 64)), 'dropout': FloatDistribution(high=0.8, log=False, low=0.1, step=None)}, trial_id=1, value=None)
FrozenTrial(number=2, state=TrialState.COMPLETE, values=[0.905], datetime_start=datetime.datetime(2024, 3, 15, 9, 51, 31, 242265), datetime_complete=datetime.datetime(2024, 3, 15, 9, 53, 28, 112050), params={'lr': 0.007034568783961688, 'tblr': 0.0016545305930828274, 'tbwd': 1.8680384568365787e-05, 'tpwd': 7.323532735437057e-05, 'lw': 0.5803698781754751, 'layer_num': 2, 'dropout': 0.7821217225876123}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tblr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tbwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'tpwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'lw': FloatDistribution(high=0.7, log=False, low=0.01, step=None), 'layer_num': CategoricalDistribution(choices=(2, 16, 32, 64)), 'dropout': FloatDistribution(high=0.8, log=False, low=0.1, step=None)}, trial_id=2, value=None)
FrozenTrial(number=3, state=TrialState.COMPLETE, values=[0.876], datetime_start=datetime.datetime(2024, 3, 15, 9, 53, 28, 113540), datetime_complete=datetime.datetime(2024, 3, 15, 10, 4, 20, 199122), params={'lr': 0.014538856118477845, 'tblr': 0.02536348612146321, 'tbwd': 7.57866085842842e-05, 'tpwd': 3.3809836135485784e-06, 'lw': 0.5882277663179246, 'layer_num': 32, 'dropout': 0.7429464678998956}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tblr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tbwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'tpwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'lw': FloatDistribution(high=0.7, log=False, low=0.01, step=None), 'layer_num': CategoricalDistribution(choices=(2, 16, 32, 64)), 'dropout': FloatDistribution(high=0.8, log=False, low=0.1, step=None)}, trial_id=3, value=None)
FrozenTrial(number=4, state=TrialState.COMPLETE, values=[0.859], datetime_start=datetime.datetime(2024, 3, 15, 10, 4, 20, 200815), datetime_complete=datetime.datetime(2024, 3, 15, 10, 15, 15, 14514), params={'lr': 0.002720282747509851, 'tblr': 0.04555559939591139, 'tbwd': 3.8188009526924654e-05, 'tpwd': 7.482829056645804e-05, 'lw': 0.4409575190004833, 'layer_num': 32, 'dropout': 0.5942303420631868}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tblr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tbwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'tpwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'lw': FloatDistribution(high=0.7, log=False, low=0.01, step=None), 'layer_num': CategoricalDistribution(choices=(2, 16, 32, 64)), 'dropout': FloatDistribution(high=0.8, log=False, low=0.1, step=None)}, trial_id=4, value=None)
FrozenTrial(number=5, state=TrialState.COMPLETE, values=[0.869], datetime_start=datetime.datetime(2024, 3, 15, 10, 15, 15, 16106), datetime_complete=datetime.datetime(2024, 3, 15, 10, 35, 42, 758612), params={'lr': 0.01248592116355096, 'tblr': 0.01705584644517234, 'tbwd': 4.071072418651696e-06, 'tpwd': 1.2901094683433735e-05, 'lw': 0.023885947509791963, 'layer_num': 64, 'dropout': 0.7908237436339834}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tblr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tbwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'tpwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'lw': FloatDistribution(high=0.7, log=False, low=0.01, step=None), 'layer_num': CategoricalDistribution(choices=(2, 16, 32, 64)), 'dropout': FloatDistribution(high=0.8, log=False, low=0.1, step=None)}, trial_id=5, value=None)
FrozenTrial(number=6, state=TrialState.COMPLETE, values=[0.871], datetime_start=datetime.datetime(2024, 3, 15, 10, 35, 42, 760276), datetime_complete=datetime.datetime(2024, 3, 15, 10, 56, 12, 725459), params={'lr': 0.007018037147984322, 'tblr': 0.01650269375241649, 'tbwd': 5.2672637617935894e-05, 'tpwd': 2.2085869379471428e-05, 'lw': 0.633902164264081, 'layer_num': 64, 'dropout': 0.6332976981302939}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tblr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tbwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'tpwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'lw': FloatDistribution(high=0.7, log=False, low=0.01, step=None), 'layer_num': CategoricalDistribution(choices=(2, 16, 32, 64)), 'dropout': FloatDistribution(high=0.8, log=False, low=0.1, step=None)}, trial_id=6, value=None)
FrozenTrial(number=7, state=TrialState.COMPLETE, values=[0.88], datetime_start=datetime.datetime(2024, 3, 15, 10, 56, 12, 727203), datetime_complete=datetime.datetime(2024, 3, 15, 11, 13, 17, 395600), params={'lr': 0.030891495316500844, 'tblr': 0.0010545322518014499, 'tbwd': 6.377412583412004e-05, 'tpwd': 3.0136763694729482e-05, 'lw': 0.47530306215861146, 'layer_num': 64, 'dropout': 0.6650424050609869}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tblr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tbwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'tpwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'lw': FloatDistribution(high=0.7, log=False, low=0.01, step=None), 'layer_num': CategoricalDistribution(choices=(2, 16, 32, 64)), 'dropout': FloatDistribution(high=0.8, log=False, low=0.1, step=None)}, trial_id=7, value=None)
FrozenTrial(number=8, state=TrialState.COMPLETE, values=[0.909], datetime_start=datetime.datetime(2024, 3, 15, 11, 13, 17, 396911), datetime_complete=datetime.datetime(2024, 3, 15, 11, 18, 34, 434354), params={'lr': 0.006477160196303034, 'tblr': 0.0015196305586281148, 'tbwd': 1.0264058199708597e-05, 'tpwd': 3.1411443842520926e-06, 'lw': 0.2964863479217967, 'layer_num': 2, 'dropout': 0.46567005739404244}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tblr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tbwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'tpwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'lw': FloatDistribution(high=0.7, log=False, low=0.01, step=None), 'layer_num': CategoricalDistribution(choices=(2, 16, 32, 64)), 'dropout': FloatDistribution(high=0.8, log=False, low=0.1, step=None)}, trial_id=8, value=None)
FrozenTrial(number=9, state=TrialState.COMPLETE, values=[0.859], datetime_start=datetime.datetime(2024, 3, 15, 11, 18, 34, 435356), datetime_complete=datetime.datetime(2024, 3, 15, 11, 24, 36, 289309), params={'lr': 0.0035400999030357778, 'tblr': 0.03304915296963504, 'tbwd': 3.070021852020488e-05, 'tpwd': 3.8570135835486175e-05, 'lw': 0.24883779123712543, 'layer_num': 2, 'dropout': 0.518256032019325}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tblr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tbwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'tpwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'lw': FloatDistribution(high=0.7, log=False, low=0.01, step=None), 'layer_num': CategoricalDistribution(choices=(2, 16, 32, 64)), 'dropout': FloatDistribution(high=0.8, log=False, low=0.1, step=None)}, trial_id=9, value=None)
FrozenTrial(number=10, state=TrialState.COMPLETE, values=[0.679], datetime_start=datetime.datetime(2024, 3, 15, 11, 24, 36, 290743), datetime_complete=datetime.datetime(2024, 3, 15, 11, 31, 41, 875452), params={'lr': 0.001012981175113101, 'tblr': 0.0036973740104734023, 'tbwd': 9.991796623468335e-05, 'tpwd': 9.524685366046071e-05, 'lw': 0.06621821589640653, 'layer_num': 16, 'dropout': 0.16402852945795454}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tblr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tbwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'tpwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'lw': FloatDistribution(high=0.7, log=False, low=0.01, step=None), 'layer_num': CategoricalDistribution(choices=(2, 16, 32, 64)), 'dropout': FloatDistribution(high=0.8, log=False, low=0.1, step=None)}, trial_id=10, value=None)
FrozenTrial(number=11, state=TrialState.COMPLETE, values=[0.916], datetime_start=datetime.datetime(2024, 3, 15, 11, 31, 41, 876609), datetime_complete=datetime.datetime(2024, 3, 15, 11, 37, 47, 982764), params={'lr': 0.0499824124217838, 'tblr': 0.004733719887393547, 'tbwd': 8.048797745545452e-05, 'tpwd': 4.826386682923657e-05, 'lw': 0.24246426503281499, 'layer_num': 16, 'dropout': 0.3385387707169659}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tblr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tbwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'tpwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'lw': FloatDistribution(high=0.7, log=False, low=0.01, step=None), 'layer_num': CategoricalDistribution(choices=(2, 16, 32, 64)), 'dropout': FloatDistribution(high=0.8, log=False, low=0.1, step=None)}, trial_id=11, value=None)
FrozenTrial(number=12, state=TrialState.COMPLETE, values=[0.921], datetime_start=datetime.datetime(2024, 3, 15, 11, 37, 47, 984331), datetime_complete=datetime.datetime(2024, 3, 15, 11, 43, 58, 375381), params={'lr': 0.04491620745964206, 'tblr': 0.003908659301244755, 'tbwd': 8.648730479174095e-05, 'tpwd': 4.4998839252175403e-05, 'lw': 0.1743794369198109, 'layer_num': 16, 'dropout': 0.3183870941057182}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tblr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tbwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'tpwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'lw': FloatDistribution(high=0.7, log=False, low=0.01, step=None), 'layer_num': CategoricalDistribution(choices=(2, 16, 32, 64)), 'dropout': FloatDistribution(high=0.8, log=False, low=0.1, step=None)}, trial_id=12, value=None)
FrozenTrial(number=13, state=TrialState.COMPLETE, values=[0.922], datetime_start=datetime.datetime(2024, 3, 15, 11, 43, 58, 376932), datetime_complete=datetime.datetime(2024, 3, 15, 11, 50, 18, 138587), params={'lr': 0.043477175259221804, 'tblr': 0.004196223871880698, 'tbwd': 9.177861350040974e-05, 'tpwd': 4.5492402047832415e-05, 'lw': 0.14386374314504408, 'layer_num': 16, 'dropout': 0.2678783600472934}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tblr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tbwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'tpwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'lw': FloatDistribution(high=0.7, log=False, low=0.01, step=None), 'layer_num': CategoricalDistribution(choices=(2, 16, 32, 64)), 'dropout': FloatDistribution(high=0.8, log=False, low=0.1, step=None)}, trial_id=13, value=None)
FrozenTrial(number=14, state=TrialState.COMPLETE, values=[0.926], datetime_start=datetime.datetime(2024, 3, 15, 11, 50, 18, 140160), datetime_complete=datetime.datetime(2024, 3, 15, 11, 56, 43, 982817), params={'lr': 0.04924197395231622, 'tblr': 0.003239151945190316, 'tbwd': 9.752094821530176e-05, 'tpwd': 5.33954554923606e-05, 'lw': 0.13196442436409125, 'layer_num': 16, 'dropout': 0.1255904747378988}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tblr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tbwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'tpwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'lw': FloatDistribution(high=0.7, log=False, low=0.01, step=None), 'layer_num': CategoricalDistribution(choices=(2, 16, 32, 64)), 'dropout': FloatDistribution(high=0.8, log=False, low=0.1, step=None)}, trial_id=14, value=None)
FrozenTrial(number=15, state=TrialState.COMPLETE, values=[0.92], datetime_start=datetime.datetime(2024, 3, 15, 11, 56, 43, 984389), datetime_complete=datetime.datetime(2024, 3, 15, 12, 2, 49, 406842), params={'lr': 0.026003962785373314, 'tblr': 0.0026221708233914627, 'tbwd': 9.82066412111196e-05, 'tpwd': 6.426861783972903e-05, 'lw': 0.11628330610212445, 'layer_num': 16, 'dropout': 0.13056310922615627}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tblr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tbwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'tpwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'lw': FloatDistribution(high=0.7, log=False, low=0.01, step=None), 'layer_num': CategoricalDistribution(choices=(2, 16, 32, 64)), 'dropout': FloatDistribution(high=0.8, log=False, low=0.1, step=None)}, trial_id=15, value=None)
FrozenTrial(number=16, state=TrialState.COMPLETE, values=[0.913], datetime_start=datetime.datetime(2024, 3, 15, 12, 2, 49, 408387), datetime_complete=datetime.datetime(2024, 3, 15, 12, 8, 53, 545287), params={'lr': 0.03441875760368248, 'tblr': 0.006804311962711832, 'tbwd': 8.898332459740134e-05, 'tpwd': 9.55502908594749e-05, 'lw': 0.15141009936554475, 'layer_num': 16, 'dropout': 0.21257429979462278}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tblr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tbwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'tpwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'lw': FloatDistribution(high=0.7, log=False, low=0.01, step=None), 'layer_num': CategoricalDistribution(choices=(2, 16, 32, 64)), 'dropout': FloatDistribution(high=0.8, log=False, low=0.1, step=None)}, trial_id=16, value=None)
FrozenTrial(number=17, state=TrialState.COMPLETE, values=[0.911], datetime_start=datetime.datetime(2024, 3, 15, 12, 8, 53, 546824), datetime_complete=datetime.datetime(2024, 3, 15, 12, 15, 0, 91390), params={'lr': 0.013008098608983085, 'tblr': 0.002239211687760659, 'tbwd': 7.485123540023998e-05, 'tpwd': 5.7993359725619164e-05, 'lw': 0.3872640638684966, 'layer_num': 16, 'dropout': 0.2290673398762297}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tblr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tbwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'tpwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'lw': FloatDistribution(high=0.7, log=False, low=0.01, step=None), 'layer_num': CategoricalDistribution(choices=(2, 16, 32, 64)), 'dropout': FloatDistribution(high=0.8, log=False, low=0.1, step=None)}, trial_id=17, value=None)
FrozenTrial(number=18, state=TrialState.COMPLETE, values=[0.912], datetime_start=datetime.datetime(2024, 3, 15, 12, 15, 0, 92985), datetime_complete=datetime.datetime(2024, 3, 15, 12, 20, 57, 152917), params={'lr': 0.018529054017783108, 'tblr': 0.005432428539927796, 'tbwd': 8.927666859287309e-05, 'tpwd': 3.172928120424627e-05, 'lw': 0.09270429192981575, 'layer_num': 16, 'dropout': 0.22772757128249654}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tblr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tbwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'tpwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'lw': FloatDistribution(high=0.7, log=False, low=0.01, step=None), 'layer_num': CategoricalDistribution(choices=(2, 16, 32, 64)), 'dropout': FloatDistribution(high=0.8, log=False, low=0.1, step=None)}, trial_id=18, value=None)
