FrozenTrial(number=0, state=TrialState.COMPLETE, values=[0.9510000000000001], datetime_start=datetime.datetime(2024, 3, 17, 13, 34, 35, 914369), datetime_complete=datetime.datetime(2024, 3, 17, 13, 53, 28, 763972), params={'lr': 0.01050068658160595, 'tblr': 0.018298216943603552, 'tbwd': 7.638477421192094e-05, 'tpwd': 9.990252651180576e-05, 'lw': 0.696512110604119, 'layer_num': 64, 'dropout': 0.11296517684105094}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tblr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tbwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'tpwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'lw': FloatDistribution(high=0.7, log=False, low=0.01, step=None), 'layer_num': CategoricalDistribution(choices=(2, 16, 32, 64)), 'dropout': FloatDistribution(high=0.8, log=False, low=0.1, step=None)}, trial_id=0, value=None)
FrozenTrial(number=1, state=TrialState.COMPLETE, values=[0.937], datetime_start=datetime.datetime(2024, 3, 17, 13, 53, 28, 765790), datetime_complete=datetime.datetime(2024, 3, 17, 13, 57, 15, 533498), params={'lr': 0.01828110868875559, 'tblr': 0.04361301932522582, 'tbwd': 2.6175926409258848e-05, 'tpwd': 5.2706750701708946e-05, 'lw': 0.6096599999225737, 'layer_num': 16, 'dropout': 0.13848300636371122}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tblr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tbwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'tpwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'lw': FloatDistribution(high=0.7, log=False, low=0.01, step=None), 'layer_num': CategoricalDistribution(choices=(2, 16, 32, 64)), 'dropout': FloatDistribution(high=0.8, log=False, low=0.1, step=None)}, trial_id=1, value=None)
FrozenTrial(number=2, state=TrialState.COMPLETE, values=[0.9460000000000001], datetime_start=datetime.datetime(2024, 3, 17, 13, 57, 15, 535050), datetime_complete=datetime.datetime(2024, 3, 17, 14, 3, 16, 274620), params={'lr': 0.003942898553251629, 'tblr': 0.0016822699610698096, 'tbwd': 6.586389359828211e-05, 'tpwd': 7.660508451072198e-05, 'lw': 0.3988043478044957, 'layer_num': 16, 'dropout': 0.7452308458646432}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tblr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tbwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'tpwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'lw': FloatDistribution(high=0.7, log=False, low=0.01, step=None), 'layer_num': CategoricalDistribution(choices=(2, 16, 32, 64)), 'dropout': FloatDistribution(high=0.8, log=False, low=0.1, step=None)}, trial_id=2, value=None)
FrozenTrial(number=3, state=TrialState.COMPLETE, values=[0.927], datetime_start=datetime.datetime(2024, 3, 17, 14, 3, 16, 276243), datetime_complete=datetime.datetime(2024, 3, 17, 14, 5, 38, 525294), params={'lr': 0.001918210247264257, 'tblr': 0.015589933910819863, 'tbwd': 4.390989858426176e-05, 'tpwd': 6.691626646726955e-05, 'lw': 0.43232689542344427, 'layer_num': 2, 'dropout': 0.7756279688054144}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tblr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tbwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'tpwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'lw': FloatDistribution(high=0.7, log=False, low=0.01, step=None), 'layer_num': CategoricalDistribution(choices=(2, 16, 32, 64)), 'dropout': FloatDistribution(high=0.8, log=False, low=0.1, step=None)}, trial_id=3, value=None)
FrozenTrial(number=4, state=TrialState.COMPLETE, values=[0.908], datetime_start=datetime.datetime(2024, 3, 17, 14, 5, 38, 526780), datetime_complete=datetime.datetime(2024, 3, 17, 14, 11, 45, 825860), params={'lr': 0.0011021589741837718, 'tblr': 0.007042772820159409, 'tbwd': 6.674047074117961e-05, 'tpwd': 2.9423553167448377e-05, 'lw': 0.5170403258455695, 'layer_num': 16, 'dropout': 0.5389083796044534}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tblr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tbwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'tpwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'lw': FloatDistribution(high=0.7, log=False, low=0.01, step=None), 'layer_num': CategoricalDistribution(choices=(2, 16, 32, 64)), 'dropout': FloatDistribution(high=0.8, log=False, low=0.1, step=None)}, trial_id=4, value=None)
FrozenTrial(number=5, state=TrialState.COMPLETE, values=[0.918], datetime_start=datetime.datetime(2024, 3, 17, 14, 11, 45, 827460), datetime_complete=datetime.datetime(2024, 3, 17, 14, 14, 10, 89953), params={'lr': 0.001534558718693585, 'tblr': 0.0018086894127104301, 'tbwd': 3.4659147971371004e-05, 'tpwd': 5.761755652216721e-05, 'lw': 0.17199106471534223, 'layer_num': 2, 'dropout': 0.40634552586226114}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tblr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tbwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'tpwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'lw': FloatDistribution(high=0.7, log=False, low=0.01, step=None), 'layer_num': CategoricalDistribution(choices=(2, 16, 32, 64)), 'dropout': FloatDistribution(high=0.8, log=False, low=0.1, step=None)}, trial_id=5, value=None)
FrozenTrial(number=6, state=TrialState.COMPLETE, values=[0.9510000000000001], datetime_start=datetime.datetime(2024, 3, 17, 14, 14, 10, 91382), datetime_complete=datetime.datetime(2024, 3, 17, 14, 32, 46, 544165), params={'lr': 0.0029576616394221765, 'tblr': 0.01574203435410345, 'tbwd': 6.280227466751435e-05, 'tpwd': 3.227768060246232e-05, 'lw': 0.34978142133579526, 'layer_num': 64, 'dropout': 0.34893078160494484}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tblr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tbwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'tpwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'lw': FloatDistribution(high=0.7, log=False, low=0.01, step=None), 'layer_num': CategoricalDistribution(choices=(2, 16, 32, 64)), 'dropout': FloatDistribution(high=0.8, log=False, low=0.1, step=None)}, trial_id=6, value=None)
FrozenTrial(number=7, state=TrialState.COMPLETE, values=[0.9510000000000001], datetime_start=datetime.datetime(2024, 3, 17, 14, 32, 46, 545658), datetime_complete=datetime.datetime(2024, 3, 17, 14, 51, 33, 852797), params={'lr': 0.004612732307392114, 'tblr': 0.021701282274062116, 'tbwd': 4.223735161486434e-05, 'tpwd': 6.481048593457043e-05, 'lw': 0.31008708982115324, 'layer_num': 64, 'dropout': 0.7003646699900116}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tblr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tbwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'tpwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'lw': FloatDistribution(high=0.7, log=False, low=0.01, step=None), 'layer_num': CategoricalDistribution(choices=(2, 16, 32, 64)), 'dropout': FloatDistribution(high=0.8, log=False, low=0.1, step=None)}, trial_id=7, value=None)
FrozenTrial(number=8, state=TrialState.COMPLETE, values=[0.934], datetime_start=datetime.datetime(2024, 3, 17, 14, 51, 33, 854517), datetime_complete=datetime.datetime(2024, 3, 17, 14, 57, 39, 253057), params={'lr': 0.0018283605784173475, 'tblr': 0.005541848572941964, 'tbwd': 8.967638503375188e-05, 'tpwd': 8.335400476751203e-05, 'lw': 0.6657012390545232, 'layer_num': 16, 'dropout': 0.6784081836786366}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tblr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tbwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'tpwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'lw': FloatDistribution(high=0.7, log=False, low=0.01, step=None), 'layer_num': CategoricalDistribution(choices=(2, 16, 32, 64)), 'dropout': FloatDistribution(high=0.8, log=False, low=0.1, step=None)}, trial_id=8, value=None)
FrozenTrial(number=9, state=TrialState.COMPLETE, values=[0.9470000000000001], datetime_start=datetime.datetime(2024, 3, 17, 14, 57, 39, 254780), datetime_complete=datetime.datetime(2024, 3, 17, 15, 8, 0, 362371), params={'lr': 0.0026997986533618336, 'tblr': 0.008781419275877772, 'tbwd': 7.409121823053356e-05, 'tpwd': 8.518065152389551e-05, 'lw': 0.5785567150111153, 'layer_num': 32, 'dropout': 0.7632980994719192}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tblr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tbwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'tpwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'lw': FloatDistribution(high=0.7, log=False, low=0.01, step=None), 'layer_num': CategoricalDistribution(choices=(2, 16, 32, 64)), 'dropout': FloatDistribution(high=0.8, log=False, low=0.1, step=None)}, trial_id=9, value=None)
FrozenTrial(number=10, state=TrialState.COMPLETE, values=[0.9480000000000001], datetime_start=datetime.datetime(2024, 3, 17, 15, 8, 0, 363995), datetime_complete=datetime.datetime(2024, 3, 17, 15, 22, 27, 8481), params={'lr': 0.013355154303406511, 'tblr': 0.04903528776706354, 'tbwd': 9.976168763487859e-05, 'tpwd': 1.0073928207929623e-06, 'lw': 0.045589447383255766, 'layer_num': 64, 'dropout': 0.15018789133252494}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tblr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tbwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'tpwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'lw': FloatDistribution(high=0.7, log=False, low=0.01, step=None), 'layer_num': CategoricalDistribution(choices=(2, 16, 32, 64)), 'dropout': FloatDistribution(high=0.8, log=False, low=0.1, step=None)}, trial_id=10, value=None)
