FrozenTrial(number=0, state=TrialState.COMPLETE, values=[0.81], datetime_start=datetime.datetime(2024, 3, 14, 10, 8, 53, 400796), datetime_complete=datetime.datetime(2024, 3, 14, 10, 16, 27, 759763), params={'lr': 0.02490100209220309, 'tblr': 0.011461533341741421, 'tbwd': 8.641623152949937e-06, 'tpwd': 3.711544108431159e-05, 'lw': 0.18735131653749607, 'layer_num': 64, 'dropout': 0.35272179504499335}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tblr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tbwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'tpwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'lw': FloatDistribution(high=0.7, log=False, low=0.01, step=None), 'layer_num': CategoricalDistribution(choices=(2, 16, 32, 64)), 'dropout': FloatDistribution(high=0.8, log=False, low=0.1, step=None)}, trial_id=0, value=None)
FrozenTrial(number=1, state=TrialState.COMPLETE, values=[0.809], datetime_start=datetime.datetime(2024, 3, 14, 10, 16, 27, 761471), datetime_complete=datetime.datetime(2024, 3, 14, 10, 18, 9, 235338), params={'lr': 0.036416014537692894, 'tblr': 0.002450950696461116, 'tbwd': 9.35597525002893e-05, 'tpwd': 1.5554136130677725e-06, 'lw': 0.4125231272568149, 'layer_num': 16, 'dropout': 0.2926193699848124}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tblr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tbwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'tpwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'lw': FloatDistribution(high=0.7, log=False, low=0.01, step=None), 'layer_num': CategoricalDistribution(choices=(2, 16, 32, 64)), 'dropout': FloatDistribution(high=0.8, log=False, low=0.1, step=None)}, trial_id=1, value=None)
FrozenTrial(number=2, state=TrialState.COMPLETE, values=[0.803], datetime_start=datetime.datetime(2024, 3, 14, 10, 18, 9, 237130), datetime_complete=datetime.datetime(2024, 3, 14, 10, 24, 17, 564792), params={'lr': 0.005858747574270915, 'tblr': 0.01757989448828246, 'tbwd': 4.249256785274751e-05, 'tpwd': 7.261159554368023e-05, 'lw': 0.17155631897412443, 'layer_num': 32, 'dropout': 0.3064766630598077}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tblr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tbwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'tpwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'lw': FloatDistribution(high=0.7, log=False, low=0.01, step=None), 'layer_num': CategoricalDistribution(choices=(2, 16, 32, 64)), 'dropout': FloatDistribution(high=0.8, log=False, low=0.1, step=None)}, trial_id=2, value=None)
FrozenTrial(number=3, state=TrialState.COMPLETE, values=[0.8150000000000001], datetime_start=datetime.datetime(2024, 3, 14, 10, 24, 17, 566619), datetime_complete=datetime.datetime(2024, 3, 14, 10, 26, 41, 141177), params={'lr': 0.02293757200923687, 'tblr': 0.004821230260868756, 'tbwd': 5.851365743939733e-05, 'tpwd': 6.177685053867249e-05, 'lw': 0.37303621482667493, 'layer_num': 16, 'dropout': 0.5369232513100889}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tblr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tbwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'tpwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'lw': FloatDistribution(high=0.7, log=False, low=0.01, step=None), 'layer_num': CategoricalDistribution(choices=(2, 16, 32, 64)), 'dropout': FloatDistribution(high=0.8, log=False, low=0.1, step=None)}, trial_id=3, value=None)
FrozenTrial(number=4, state=TrialState.COMPLETE, values=[0.8180000000000001], datetime_start=datetime.datetime(2024, 3, 14, 10, 26, 41, 142947), datetime_complete=datetime.datetime(2024, 3, 14, 10, 29, 56, 722165), params={'lr': 0.00845076234275757, 'tblr': 0.0014754798413049997, 'tbwd': 1.8360672316952183e-06, 'tpwd': 6.178751104786158e-05, 'lw': 0.6861827527050448, 'layer_num': 16, 'dropout': 0.16913750232113672}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tblr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tbwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'tpwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'lw': FloatDistribution(high=0.7, log=False, low=0.01, step=None), 'layer_num': CategoricalDistribution(choices=(2, 16, 32, 64)), 'dropout': FloatDistribution(high=0.8, log=False, low=0.1, step=None)}, trial_id=4, value=None)
FrozenTrial(number=5, state=TrialState.COMPLETE, values=[0.808], datetime_start=datetime.datetime(2024, 3, 14, 10, 29, 56, 723948), datetime_complete=datetime.datetime(2024, 3, 14, 10, 32, 30, 397590), params={'lr': 0.02197100916099458, 'tblr': 0.011612628847780321, 'tbwd': 4.500242749632459e-05, 'tpwd': 2.8440914749019505e-05, 'lw': 0.07453159070424877, 'layer_num': 16, 'dropout': 0.7406684447076203}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tblr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tbwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'tpwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'lw': FloatDistribution(high=0.7, log=False, low=0.01, step=None), 'layer_num': CategoricalDistribution(choices=(2, 16, 32, 64)), 'dropout': FloatDistribution(high=0.8, log=False, low=0.1, step=None)}, trial_id=5, value=None)
FrozenTrial(number=6, state=TrialState.COMPLETE, values=[0.757], datetime_start=datetime.datetime(2024, 3, 14, 10, 32, 30, 399347), datetime_complete=datetime.datetime(2024, 3, 14, 10, 33, 6, 54248), params={'lr': 0.017484323169596618, 'tblr': 0.01670658598496109, 'tbwd': 8.033374123086815e-05, 'tpwd': 4.5788951909460235e-05, 'lw': 0.659235950317774, 'layer_num': 2, 'dropout': 0.12275172430778213}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tblr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tbwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'tpwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'lw': FloatDistribution(high=0.7, log=False, low=0.01, step=None), 'layer_num': CategoricalDistribution(choices=(2, 16, 32, 64)), 'dropout': FloatDistribution(high=0.8, log=False, low=0.1, step=None)}, trial_id=6, value=None)
FrozenTrial(number=7, state=TrialState.COMPLETE, values=[0.803], datetime_start=datetime.datetime(2024, 3, 14, 10, 33, 6, 55432), datetime_complete=datetime.datetime(2024, 3, 14, 10, 36, 32, 445426), params={'lr': 0.024203766154265692, 'tblr': 0.0012428705472279894, 'tbwd': 6.427223355940243e-05, 'tpwd': 8.434426808880809e-05, 'lw': 0.32030198228686196, 'layer_num': 16, 'dropout': 0.7397390723713027}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tblr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tbwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'tpwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'lw': FloatDistribution(high=0.7, log=False, low=0.01, step=None), 'layer_num': CategoricalDistribution(choices=(2, 16, 32, 64)), 'dropout': FloatDistribution(high=0.8, log=False, low=0.1, step=None)}, trial_id=7, value=None)
FrozenTrial(number=8, state=TrialState.COMPLETE, values=[0.73], datetime_start=datetime.datetime(2024, 3, 14, 10, 36, 32, 446783), datetime_complete=datetime.datetime(2024, 3, 14, 10, 48, 30, 295902), params={'lr': 0.0012177548746226134, 'tblr': 0.007981404644610331, 'tbwd': 3.0680254594751305e-05, 'tpwd': 2.25608427999538e-05, 'lw': 0.6217676473767216, 'layer_num': 64, 'dropout': 0.29018547829556635}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tblr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tbwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'tpwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'lw': FloatDistribution(high=0.7, log=False, low=0.01, step=None), 'layer_num': CategoricalDistribution(choices=(2, 16, 32, 64)), 'dropout': FloatDistribution(high=0.8, log=False, low=0.1, step=None)}, trial_id=8, value=None)
FrozenTrial(number=9, state=TrialState.COMPLETE, values=[0.796], datetime_start=datetime.datetime(2024, 3, 14, 10, 48, 30, 297777), datetime_complete=datetime.datetime(2024, 3, 14, 10, 51, 31, 344289), params={'lr': 0.031146371314701375, 'tblr': 0.0013639674051719737, 'tbwd': 3.75532596867568e-05, 'tpwd': 8.309459418614464e-05, 'lw': 0.6792756803568106, 'layer_num': 16, 'dropout': 0.7749705279770345}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tblr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tbwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'tpwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'lw': FloatDistribution(high=0.7, log=False, low=0.01, step=None), 'layer_num': CategoricalDistribution(choices=(2, 16, 32, 64)), 'dropout': FloatDistribution(high=0.8, log=False, low=0.1, step=None)}, trial_id=9, value=None)
FrozenTrial(number=10, state=TrialState.COMPLETE, values=[0.799], datetime_start=datetime.datetime(2024, 3, 14, 10, 51, 31, 346053), datetime_complete=datetime.datetime(2024, 3, 14, 10, 52, 14, 605696), params={'lr': 0.0059321936156743055, 'tblr': 0.03991276406857689, 'tbwd': 1.0030335279983543e-06, 'tpwd': 5.94021598252403e-05, 'lw': 0.513901596178373, 'layer_num': 2, 'dropout': 0.1101059062488571}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tblr': FloatDistribution(high=0.05, log=True, low=0.001, step=None), 'tbwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'tpwd': FloatDistribution(high=0.0001, log=False, low=1e-06, step=None), 'lw': FloatDistribution(high=0.7, log=False, low=0.01, step=None), 'layer_num': CategoricalDistribution(choices=(2, 16, 32, 64)), 'dropout': FloatDistribution(high=0.8, log=False, low=0.1, step=None)}, trial_id=10, value=None)
